Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,Employee ID,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,ATTRITION FLAG,AGE GROUP,INCOME BAND,PROMOTION RISK
39,Yes,Non-Travel,673,Research & Development,16,2,Human Resources,1,14,2,Female,69,4,2,Sales Executive,2,Married,14,47844,382752,1,Y,No,47,1,4,80,1,14,4,2,13,9,11,5,1,30-40,High,High Risk
42,No,Travel_Rarely,1422,Software,26,4,Life Sciences,1,18,4,Female,92,4,5,Developer,3,Single,18,47968,47968,3,Y,Yes,41,4,2,80,1,5,4,3,4,1,2,3,0,41-50,High,Low Risk
34,Yes,Travel_Rarely,212,Support,50,4,Human Resources,1,23,2,Male,44,1,1,Manager,3,Single,23,30597,152985,3,Y,No,28,4,1,80,1,36,6,1,30,8,11,4,1,30-40,High,High Risk
41,No,Travel_Frequently,1464,Software,16,1,Life Sciences,1,9,3,Male,134,1,2,Manager,4,Divorced,9,3241,87507,7,Y,No,1,1,3,80,2,8,1,2,2,1,2,2,0,41-50,Low,Low Risk
51,Yes,Travel_Rarely,531,Sales,18,2,Other,1,27,3,Male,146,2,4,Developer,2,Single,27,31621,758904,2,Y,No,1,4,3,80,1,18,3,3,17,17,4,16,1,50+,High,High Risk
45,No,Travel_Frequently,1020,Human Resources,17,5,Life Sciences,1,10,4,Female,137,2,4,Manager,2,Married,10,4323,116721,4,Y,Yes,32,1,3,80,4,6,4,4,5,3,4,1,0,41-50,Low,High Risk
51,No,Travel_Rarely,345,Support,24,3,Technical Degree,1,30,3,Female,135,4,1,Manager,4,Married,30,3641,105589,0,Y,Yes,45,1,3,80,1,3,5,3,2,1,2,2,0,50+,Low,Low Risk
40,No,Travel_Rarely,533,Hardware,6,1,Life Sciences,1,36,3,Male,186,4,5,Human Resources,4,Single,36,10478,293384,1,Y,Yes,32,4,4,80,1,12,3,4,12,8,7,7,0,30-40,Medium,High Risk
23,No,Travel_Frequently,135,Human Resources,20,4,Life Sciences,1,12,2,Female,51,2,2,Manufacturing Director,2,Divorced,12,7446,141474,8,Y,Yes,44,1,2,80,4,16,5,3,8,6,7,6,0,Below 30,Low,High Risk
24,No,Non-Travel,1274,Human Resources,38,4,Technical Degree,1,37,3,Female,103,3,4,Human Resources,1,Divorced,37,40937,859677,5,Y,No,48,3,1,80,1,34,2,3,12,4,1,10,0,Below 30,High,Low Risk
58,Yes,Non-Travel,1115,Research & Development,1,2,Other,1,39,2,Female,64,3,5,Developer,4,Married,39,40831,1061606,3,Y,No,3,4,3,80,1,39,2,3,17,14,7,16,1,50+,High,High Risk
57,No,Travel_Rarely,377,Support,35,4,Medical,1,48,2,Female,98,1,1,Sales Representative,2,Divorced,48,14164,311608,8,Y,Yes,43,4,1,80,1,35,5,3,24,24,4,23,0,50+,Medium,High Risk
42,Yes,Travel_Rarely,145,Human Resources,31,3,Life Sciences,1,15,3,Male,127,3,1,Developer,4,Married,15,21432,21432,4,Y,Yes,48,2,1,80,4,2,6,2,1,1,1,1,1,41-50,Medium,Low Risk
53,Yes,Non-Travel,1018,Research & Development,20,2,Life Sciences,1,49,1,Female,85,3,4,Healthcare Representative,1,Single,49,31062,31062,6,Y,Yes,17,4,3,80,1,9,1,1,2,1,2,1,1,50+,High,Low Risk
44,Yes,Travel_Frequently,717,Software,10,2,Human Resources,1,16,3,Female,151,1,5,Sales Representative,4,Divorced,16,50393,1058253,6,Y,Yes,42,2,1,80,2,27,3,1,27,13,18,18,1,41-50,High,High Risk
32,Yes,Travel_Rarely,775,Software,10,3,Medical,1,53,3,Female,170,1,3,Manager,4,Divorced,53,1120,7840,4,Y,Yes,6,2,4,80,1,28,5,3,6,6,2,2,1,30-40,Low,Low Risk
50,Yes,Travel_Frequently,460,Research & Development,10,4,Human Resources,1,17,4,Male,181,2,5,Manager,3,Divorced,17,22090,66270,7,Y,No,19,2,1,80,2,14,3,3,5,3,4,5,1,41-50,Medium,High Risk
59,Yes,Travel_Frequently,1448,Research & Development,16,4,Technical Degree,1,60,4,Female,168,4,5,Manufacturing Director,3,Married,60,36488,729760,3,Y,No,9,3,1,80,1,16,5,2,12,10,4,5,1,50+,High,High Risk
20,No,Travel_Frequently,462,Hardware,3,4,Life Sciences,1,61,2,Female,55,1,3,Research Director,1,Married,61,8520,136320,0,Y,Yes,45,3,2,80,1,18,3,1,5,1,1,3,0,Below 30,Low,Low Risk
49,No,Travel_Frequently,129,Research & Development,41,1,Technical Degree,1,19,3,Female,81,2,1,Manager,1,Divorced,19,24665,98660,0,Y,No,17,2,3,80,4,7,1,3,6,4,3,4,0,41-50,Medium,Low Risk
53,Yes,Travel_Rarely,1486,Research & Development,25,3,Medical,1,67,4,Male,62,4,2,Developer,3,Married,67,2564,23076,0,Y,Yes,8,4,1,80,1,20,1,3,3,2,1,1,1,50+,Low,Low Risk
58,Yes,Travel_Rarely,637,Support,5,4,Technical Degree,1,20,2,Female,66,3,5,Manager,2,Married,20,41084,903848,7,Y,No,46,1,3,80,3,39,6,4,17,3,13,4,1,50+,High,High Risk
29,Yes,Travel_Rarely,922,Sales,15,5,Life Sciences,1,73,1,Male,37,2,1,Sales Representative,4,Single,73,9472,161024,6,Y,No,23,2,3,80,1,40,3,2,20,8,8,6,1,Below 30,Low,High Risk
42,Yes,Travel_Frequently,699,Software,27,1,Life Sciences,1,21,3,Female,157,3,1,Research Scientist,3,Single,21,29391,264519,0,Y,Yes,43,3,2,80,3,20,2,3,5,5,3,2,1,41-50,Medium,Low Risk
18,No,Non-Travel,314,Software,39,4,Technical Degree,1,76,3,Female,70,4,4,Laboratory Technician,3,Divorced,76,39184,470208,5,Y,Yes,23,3,2,80,1,36,2,4,29,7,13,27,0,Below 30,High,High Risk
46,Yes,Travel_Frequently,198,Hardware,4,3,Human Resources,1,22,2,Male,162,3,3,Manufacturing Director,3,Single,22,3835,72865,3,Y,No,33,3,4,80,3,18,3,4,9,5,7,3,1,41-50,Low,High Risk
22,No,Non-Travel,497,Software,50,1,Other,1,78,3,Male,166,3,3,Research Scientist,4,Single,78,47785,334495,3,Y,No,32,1,1,80,1,24,1,3,19,6,7,7,0,Below 30,High,High Risk
33,No,Travel_Frequently,482,Research & Development,9,4,Technical Degree,1,79,4,Female,89,4,4,Sales Representative,1,Divorced,79,50464,1211136,5,Y,Yes,36,2,1,80,1,24,5,4,14,14,13,12,0,30-40,High,High Risk
38,No,Travel_Frequently,564,Research & Development,14,2,Life Sciences,1,24,2,Female,71,3,1,Healthcare Representative,1,Single,24,28296,679104,4,Y,No,44,1,4,80,2,8,4,2,3,2,2,2,0,30-40,Medium,Low Risk
52,Yes,Travel_Frequently,192,Hardware,10,1,Other,1,81,3,Female,66,4,1,Developer,2,Single,81,19147,248911,2,Y,Yes,23,4,1,80,1,16,2,4,12,6,5,1,1,50+,Medium,High Risk
22,Yes,Non-Travel,505,Hardware,17,2,Human Resources,1,25,3,Male,44,4,5,Manufacturing Director,4,Divorced,25,44614,803052,2,Y,No,0,4,2,80,4,15,1,2,6,1,1,2,1,Below 30,High,Low Risk
41,No,Travel_Frequently,879,Sales,23,2,Marketing,1,82,1,Female,49,1,5,Manager,1,Divorced,82,34178,649382,2,Y,No,27,3,4,80,1,10,3,4,10,3,8,5,0,41-50,High,High Risk
58,Yes,Travel_Frequently,284,Support,48,3,Human Resources,1,26,2,Female,69,4,3,Human Resources,4,Married,26,12100,278300,0,Y,No,38,3,2,80,2,22,4,2,1,1,1,1,1,50+,Medium,Low Risk
36,No,Non-Travel,511,Research & Development,40,5,Other,1,83,3,Female,135,3,2,Human Resources,2,Divorced,83,1893,3786,4,Y,No,22,3,2,80,1,22,3,2,18,17,6,6,0,30-40,Low,High Risk
18,Yes,Travel_Frequently,727,Support,41,3,Other,1,92,1,Male,191,1,1,Sales Executive,2,Divorced,92,2125,21250,6,Y,Yes,30,1,2,80,1,9,1,1,9,3,8,1,1,Below 30,Low,High Risk
38,No,Non-Travel,1287,Software,34,3,Other,1,28,3,Male,83,1,4,Manufacturing Director,2,Single,28,6361,25444,0,Y,No,15,3,1,80,4,10,5,1,5,2,5,2,0,30-40,Low,High Risk
55,No,Non-Travel,811,Sales,7,4,Technical Degree,1,102,3,Male,87,1,2,Manager,3,Married,102,42582,1064550,2,Y,No,21,1,3,80,1,7,3,4,4,3,3,1,0,50+,High,Low Risk
52,Yes,Non-Travel,1047,Software,26,2,Marketing,1,29,1,Female,112,3,2,Developer,2,Divorced,29,22383,268596,2,Y,No,2,3,4,80,4,9,6,2,1,1,1,1,1,50+,Medium,Low Risk
29,Yes,Travel_Rarely,984,Support,47,5,Marketing,1,104,3,Female,195,1,3,Sales Representative,4,Divorced,104,4258,4258,2,Y,No,36,4,4,80,1,34,3,2,21,12,19,5,1,Below 30,Low,High Risk
39,Yes,Travel_Rarely,1264,Software,49,4,Marketing,1,105,4,Female,88,1,1,Sales Representative,4,Married,105,46688,326816,0,Y,No,47,3,2,80,1,22,4,2,21,11,9,17,1,30-40,High,High Risk
35,No,Travel_Rarely,133,Support,10,2,Other,1,31,3,Male,161,4,5,Research Scientist,2,Married,31,23302,326228,5,Y,No,15,3,2,80,4,18,4,2,10,9,5,2,0,30-40,Medium,High Risk
26,No,Travel_Rarely,1109,Research & Development,14,4,Medical,1,112,4,Female,88,2,1,Manager,1,Married,112,10932,142116,3,Y,Yes,3,3,3,80,1,4,6,2,3,2,3,3,0,Below 30,Medium,Low Risk
56,No,Non-Travel,633,Hardware,10,1,Marketing,1,32,4,Female,47,2,5,Sales Representative,2,Married,32,8138,179036,7,Y,Yes,6,2,1,80,2,10,5,3,2,1,1,2,0,50+,Low,Low Risk
28,Yes,Non-Travel,743,Sales,17,2,Human Resources,1,113,4,Male,183,1,1,Sales Representative,4,Single,113,16034,288612,8,Y,No,42,2,3,80,1,20,6,1,17,5,4,6,1,Below 30,Medium,High Risk
26,No,Non-Travel,1390,Software,21,1,Life Sciences,1,33,3,Female,100,4,2,Sales Executive,2,Divorced,33,35730,1071900,0,Y,Yes,3,4,4,80,4,28,3,3,1,1,1,1,0,Below 30,High,Low Risk
49,Yes,Non-Travel,727,Sales,31,3,Medical,1,127,3,Female,74,3,2,Laboratory Technician,1,Married,127,36320,762720,7,Y,Yes,24,2,3,80,1,6,6,3,2,1,1,2,1,41-50,High,Low Risk
42,No,Travel_Rarely,623,Sales,3,4,Life Sciences,1,34,3,Male,86,3,3,Healthcare Representative,3,Divorced,34,42788,1026912,5,Y,Yes,4,3,2,80,3,26,3,2,6,1,5,6,0,41-50,High,High Risk
28,No,Travel_Frequently,596,Human Resources,1,1,Life Sciences,1,130,1,Female,61,1,1,Laboratory Technician,1,Divorced,130,34982,734622,6,Y,No,25,1,1,80,1,30,4,2,29,24,23,9,0,Below 30,High,High Risk
48,No,Travel_Frequently,983,Support,25,1,Marketing,1,35,4,Male,111,3,5,Research Scientist,4,Divorced,35,37974,455688,0,Y,No,26,4,1,80,4,7,5,1,2,1,2,1,0,41-50,High,Low Risk
59,Yes,Non-Travel,947,Research & Development,1,5,Other,1,132,4,Male,74,3,5,Sales Representative,3,Divorced,132,18056,379176,1,Y,No,46,2,4,80,1,34,4,2,31,28,3,14,1,50+,Medium,Low Risk
39,Yes,Travel_Rarely,1208,Support,36,5,Other,1,134,1,Male,93,4,5,Research Director,4,Divorced,134,45522,637308,0,Y,No,17,4,3,80,1,38,4,4,10,6,3,6,1,30-40,High,Low Risk
51,No,Non-Travel,777,Support,41,3,Life Sciences,1,135,3,Male,183,1,5,Manager,4,Single,135,31275,156375,3,Y,No,22,4,1,80,1,2,2,1,1,1,1,1,0,50+,High,Low Risk
22,No,Travel_Frequently,1079,Support,15,1,Other,1,38,3,Female,175,2,1,Sales Representative,1,Divorced,38,39035,234210,6,Y,No,19,2,2,80,3,23,1,4,6,4,3,4,0,Below 30,High,Low Risk
28,No,Non-Travel,465,Sales,30,1,Human Resources,1,142,4,Male,48,4,3,Sales Executive,4,Single,142,28438,312818,1,Y,Yes,5,1,2,80,1,40,2,1,22,4,6,7,0,Below 30,Medium,High Risk
50,No,Travel_Frequently,1223,Sales,26,3,Marketing,1,145,2,Male,153,1,4,Healthcare Representative,3,Divorced,145,1409,28180,0,Y,Yes,29,1,3,80,1,3,2,3,2,2,1,1,0,41-50,Low,Low Risk
30,Yes,Travel_Rarely,435,Research & Development,40,4,Technical Degree,1,40,4,Male,106,1,3,Laboratory Technician,3,Divorced,40,2198,19782,1,Y,Yes,23,1,4,80,4,9,1,2,4,2,4,1,1,30-40,Low,High Risk
47,No,Travel_Frequently,1246,Hardware,12,2,Medical,1,146,2,Male,131,2,3,Manufacturing Director,4,Divorced,146,31570,536690,1,Y,Yes,18,1,3,80,1,25,3,2,6,5,1,4,0,41-50,High,Low Risk
38,No,Travel_Frequently,1441,Software,33,2,Medical,1,41,2,Male,129,2,2,Human Resources,3,Married,41,4886,29316,7,Y,No,43,4,2,80,3,3,5,2,1,1,1,1,0,30-40,Low,Low Risk
48,No,Travel_Rarely,1225,Hardware,44,5,Medical,1,148,4,Female,152,4,4,Sales Representative,1,Divorced,148,26448,185136,4,Y,Yes,28,1,2,80,1,1,1,1,1,1,1,1,0,41-50,Medium,Low Risk
60,Yes,Travel_Rarely,1277,Research & Development,16,5,Life Sciences,1,42,4,Male,136,3,3,Sales Representative,4,Single,42,21259,531475,7,Y,No,18,4,3,80,4,34,2,2,7,4,7,4,1,50+,Medium,High Risk
47,Yes,Non-Travel,1372,Hardware,35,2,Human Resources,1,156,3,Male,198,1,3,Sales Representative,4,Divorced,156,33680,370480,7,Y,No,45,4,1,80,1,29,6,3,24,24,16,16,1,41-50,High,High Risk
36,Yes,Non-Travel,735,Hardware,22,5,Marketing,1,43,1,Male,138,1,1,Sales Executive,1,Divorced,43,38523,847506,4,Y,No,22,2,2,80,3,39,6,4,12,3,4,8,1,30-40,High,High Risk
31,Yes,Travel_Rarely,1499,Human Resources,39,5,Technical Degree,1,159,2,Male,190,2,4,Manager,2,Divorced,159,46478,836604,5,Y,Yes,16,4,1,80,1,23,4,4,8,8,3,1,1,30-40,High,Low Risk
59,Yes,Non-Travel,873,Hardware,26,2,Other,1,44,4,Female,154,2,2,Manager,1,Married,44,14544,407232,8,Y,No,48,4,3,80,2,30,4,3,23,5,1,17,1,50+,Medium,Low Risk
36,Yes,Travel_Rarely,680,Research & Development,14,5,Marketing,1,161,2,Female,31,4,5,Human Resources,1,Single,161,47495,142485,1,Y,No,42,2,3,80,1,1,1,1,1,1,1,1,1,30-40,High,Low Risk
45,No,Travel_Rarely,111,Support,5,2,Life Sciences,1,45,3,Female,48,1,4,Developer,3,Married,45,44893,224465,5,Y,No,27,4,1,80,2,18,3,4,17,1,11,15,0,41-50,High,High Risk
33,No,Travel_Frequently,924,Human Resources,21,1,Other,1,170,3,Male,55,1,2,Manufacturing Director,1,Divorced,170,20865,104325,8,Y,Yes,41,2,4,80,1,13,5,1,9,6,3,9,0,30-40,Medium,Low Risk
32,No,Travel_Frequently,633,Software,11,5,Medical,1,46,3,Female,56,1,3,Developer,1,Divorced,46,24444,24444,7,Y,Yes,22,3,3,80,2,13,5,3,13,11,9,12,0,30-40,Medium,High Risk
57,Yes,Travel_Frequently,190,Hardware,25,4,Technical Degree,1,177,4,Female,34,4,2,Human Resources,3,Single,177,4961,138908,8,Y,No,39,3,2,80,1,30,4,2,2,1,1,1,1,50+,Low,Low Risk
56,No,Travel_Frequently,276,Software,45,5,Technical Degree,1,47,3,Male,44,4,2,Sales Executive,3,Single,47,50248,1406944,7,Y,No,26,3,2,80,3,34,5,1,28,18,20,4,0,50+,High,High Risk
22,Yes,Travel_Rarely,698,Software,35,1,Life Sciences,1,178,3,Female,163,4,1,Manufacturing Director,1,Divorced,178,30553,824931,3,Y,No,12,4,2,80,1,39,3,3,22,9,22,21,1,Below 30,High,High Risk
36,Yes,Travel_Rarely,383,Support,1,3,Marketing,1,179,4,Female,187,1,1,Research Scientist,4,Married,179,18560,167040,0,Y,No,46,2,4,80,1,29,3,3,27,11,10,17,1,30-40,Medium,High Risk
48,Yes,Non-Travel,852,Hardware,18,2,Life Sciences,1,181,2,Female,173,2,2,Human Resources,2,Single,181,28786,28786,6,Y,No,7,3,1,80,1,15,6,2,14,7,9,9,1,41-50,Medium,High Risk
56,No,Travel_Frequently,402,Support,46,3,Marketing,1,50,1,Female,95,4,5,Healthcare Representative,1,Single,50,38894,972350,1,Y,No,32,4,3,80,3,10,2,1,8,4,5,2,0,50+,High,High Risk
31,No,Non-Travel,1045,Software,11,4,Technical Degree,1,183,1,Male,196,4,5,Healthcare Representative,1,Single,183,40955,40955,4,Y,No,46,3,3,80,1,38,4,3,12,6,8,4,0,30-40,High,High Risk
26,Yes,Non-Travel,197,Support,39,5,Human Resources,1,51,4,Female,200,1,2,Laboratory Technician,3,Single,51,41349,992376,0,Y,No,43,2,3,80,3,9,1,2,3,1,1,3,1,Below 30,High,Low Risk
50,Yes,Travel_Frequently,199,Sales,39,1,Other,1,188,2,Female,172,4,4,Laboratory Technician,3,Married,188,21473,279149,4,Y,Yes,10,3,4,80,1,33,1,2,10,9,3,5,1,41-50,Medium,Low Risk
29,Yes,Travel_Rarely,1148,Software,19,2,Other,1,52,3,Male,57,4,1,Sales Executive,3,Divorced,52,8574,51444,6,Y,No,5,2,4,80,3,14,3,1,12,5,2,4,1,Below 30,Low,Low Risk
48,No,Non-Travel,346,Research & Development,24,5,Other,1,204,1,Male,138,1,5,Healthcare Representative,1,Divorced,204,31908,191448,0,Y,Yes,1,4,4,80,1,35,3,4,21,2,9,10,0,41-50,High,High Risk
32,No,Travel_Rarely,400,Hardware,48,4,Human Resources,1,209,3,Female,57,2,5,Research Director,2,Single,209,6377,108409,8,Y,Yes,25,4,1,80,1,4,2,3,1,1,1,1,0,30-40,Low,Low Risk
23,Yes,Non-Travel,417,Sales,13,2,Marketing,1,54,2,Male,78,4,1,Healthcare Representative,3,Married,54,21954,153678,6,Y,No,33,4,1,80,4,3,6,2,2,1,2,1,1,Below 30,Medium,Low Risk
22,No,Travel_Frequently,1297,Sales,44,2,Technical Degree,1,213,3,Male,113,2,2,Sales Representative,2,Divorced,213,44326,797868,5,Y,No,19,3,4,80,1,19,1,3,19,16,17,13,0,Below 30,High,High Risk
25,Yes,Travel_Rarely,1143,Human Resources,27,4,Life Sciences,1,55,3,Male,162,4,3,Manager,1,Divorced,55,19402,19402,2,Y,No,27,3,1,80,2,35,5,1,30,7,11,13,1,Below 30,Medium,High Risk
50,No,Non-Travel,613,Human Resources,6,3,Technical Degree,1,218,1,Male,61,3,4,Developer,3,Single,218,13645,354770,0,Y,No,45,4,1,80,1,3,3,1,2,2,2,1,0,41-50,Medium,Low Risk
30,No,Non-Travel,1062,Software,40,2,Medical,1,56,4,Male,119,2,5,Human Resources,1,Married,56,14128,141280,7,Y,Yes,45,3,3,80,2,31,5,1,28,9,20,7,0,30-40,Medium,High Risk
29,No,Non-Travel,1472,Human Resources,4,3,Life Sciences,1,220,4,Male,62,3,1,Developer,2,Married,220,38526,38526,0,Y,Yes,46,3,3,80,1,18,6,2,7,5,4,1,0,Below 30,High,High Risk
18,Yes,Travel_Rarely,414,Human Resources,25,4,Technical Degree,1,57,4,Female,181,4,3,Sales Representative,1,Single,57,37768,604288,8,Y,No,29,1,1,80,2,9,1,1,5,1,5,4,1,Below 30,High,High Risk
48,No,Travel_Frequently,841,Human Resources,22,5,Technical Degree,1,223,2,Male,135,1,5,Research Director,2,Divorced,223,28647,372411,7,Y,Yes,8,1,3,80,1,31,4,4,21,2,5,3,0,41-50,Medium,High Risk
51,Yes,Non-Travel,381,Research & Development,9,1,Other,1,58,3,Female,152,2,5,Sales Representative,3,Married,58,22231,489082,3,Y,No,47,3,1,80,2,9,5,4,4,2,3,1,1,50+,Medium,Low Risk
54,No,Travel_Frequently,1061,Software,33,4,Marketing,1,226,3,Female,96,1,2,Healthcare Representative,1,Married,226,18742,187420,7,Y,Yes,13,4,1,80,1,40,4,2,1,1,1,1,0,50+,Medium,Low Risk
57,Yes,Travel_Rarely,238,Human Resources,6,5,Technical Degree,1,59,3,Female,168,1,2,Human Resources,2,Divorced,59,42815,470965,8,Y,No,45,2,1,80,3,23,5,3,13,1,4,7,1,50+,High,High Risk
56,No,Non-Travel,649,Research & Development,23,2,Other,1,231,2,Male,37,2,3,Research Director,4,Single,231,8450,126750,5,Y,No,16,3,4,80,1,37,5,2,4,3,1,1,0,50+,Low,Low Risk
34,No,Travel_Frequently,1478,Software,8,4,Medical,1,234,3,Female,199,1,5,Developer,3,Single,234,17909,537270,4,Y,No,28,4,3,80,1,2,4,3,2,1,2,2,0,30-40,Medium,Low Risk
47,No,Travel_Frequently,704,Support,12,5,Marketing,1,245,1,Female,94,1,5,Sales Representative,2,Single,245,42691,554983,7,Y,Yes,39,2,4,80,1,34,5,4,9,3,6,1,0,41-50,High,High Risk
42,Yes,Non-Travel,109,Sales,18,1,Medical,1,62,2,Female,125,4,4,Research Director,3,Married,62,16307,81535,4,Y,Yes,16,2,4,80,2,23,6,1,7,5,1,3,1,41-50,Medium,Low Risk
37,Yes,Travel_Frequently,1468,Hardware,7,3,Marketing,1,249,3,Female,136,2,3,Developer,1,Divorced,249,9256,166608,4,Y,Yes,24,2,4,80,1,19,2,2,9,3,8,8,1,30-40,Low,High Risk
23,Yes,Travel_Rarely,350,Hardware,15,5,Medical,1,63,3,Male,162,3,4,Healthcare Representative,2,Single,63,41919,125757,3,Y,No,41,1,4,80,3,37,3,2,8,1,2,1,1,Below 30,High,Low Risk
32,Yes,Travel_Rarely,1429,Human Resources,4,4,Medical,1,251,2,Male,48,4,3,Sales Executive,2,Divorced,251,47834,956680,2,Y,Yes,24,1,1,80,1,22,6,1,19,4,16,2,1,30-40,High,High Risk
53,Yes,Travel_Frequently,1191,Sales,36,4,Marketing,1,64,3,Female,90,2,2,Manufacturing Director,4,Single,64,13590,380520,7,Y,No,8,3,2,80,3,32,5,3,31,12,11,12,1,50+,Medium,High Risk
47,No,Travel_Rarely,752,Support,9,1,Marketing,1,253,3,Female,74,3,4,Sales Executive,1,Married,253,29895,269055,4,Y,No,17,3,2,80,1,16,2,2,2,1,2,2,0,41-50,Medium,Low Risk
24,Yes,Travel_Rarely,562,Human Resources,48,2,Marketing,1,65,3,Female,121,2,3,Developer,3,Single,65,18047,342893,3,Y,No,17,2,3,80,2,1,1,2,1,1,1,1,1,Below 30,Medium,Low Risk
55,No,Non-Travel,1394,Hardware,50,2,Marketing,1,258,2,Female,86,3,5,Manufacturing Director,4,Divorced,258,31940,894320,7,Y,No,33,1,4,80,1,25,5,3,5,5,3,5,0,50+,High,Low Risk
28,Yes,Travel_Rarely,117,Human Resources,1,5,Marketing,1,66,3,Female,39,1,1,Human Resources,3,Divorced,66,7964,191136,0,Y,No,34,4,1,80,4,31,4,1,6,5,1,6,1,Below 30,Low,Low Risk
48,Yes,Non-Travel,481,Support,6,1,Marketing,1,259,4,Male,157,1,4,Manufacturing Director,1,Divorced,259,30697,552546,2,Y,Yes,34,4,1,80,1,20,5,1,18,11,16,3,1,41-50,High,High Risk
26,Yes,Travel_Rarely,344,Hardware,49,2,Marketing,1,265,2,Female,93,4,5,Laboratory Technician,3,Married,265,11270,202860,2,Y,Yes,23,4,1,80,1,22,4,3,20,9,1,10,1,Below 30,Medium,Low Risk
24,Yes,Travel_Rarely,1008,Human Resources,21,4,Human Resources,1,68,3,Male,200,2,3,Manager,4,Married,68,21114,274482,1,Y,Yes,10,4,4,80,2,11,5,4,4,4,1,4,1,Below 30,Medium,Low Risk
33,No,Travel_Rarely,853,Software,38,4,Technical Degree,1,271,2,Male,190,2,5,Human Resources,2,Divorced,271,13634,218144,7,Y,No,13,1,4,80,1,27,5,3,11,9,7,8,0,30-40,Medium,High Risk
46,No,Travel_Frequently,858,Sales,25,2,Other,1,69,1,Female,101,3,3,Research Scientist,3,Divorced,69,23025,92100,1,Y,Yes,25,3,2,80,2,8,3,4,4,4,2,1,0,41-50,Medium,Low Risk
56,Yes,Non-Travel,1034,Support,29,4,Marketing,1,281,2,Female,77,2,2,Healthcare Representative,2,Single,281,50347,654511,2,Y,No,36,2,2,80,1,24,1,2,7,4,3,7,1,50+,High,Low Risk
49,No,Travel_Frequently,1162,Support,44,4,Marketing,1,70,4,Female,99,1,2,Healthcare Representative,2,Divorced,70,39899,518687,0,Y,Yes,46,3,1,80,3,2,4,1,1,1,1,1,0,41-50,High,Low Risk
